TTI,Total_Throughput_Mbps,Fairness_Index,User_0_Throughput,User_1_Throughput,User_2_Throughput,User_3_Throughput,User_4_Throughput,User_5_Throughput,User_6_Throughput,User_7_Throughput,User_8_Throughput,User_9_Throughput,User_0_RBs,User_1_RBs,User_2_RBs,User_3_RBs,User_4_RBs,User_5_RBs,User_6_RBs,User_7_RBs,User_8_RBs,User_9_RBs
0,153.05,0.7764638270613572,12.05,5.8999999999999995,27.75,22.599999999999998,12.05,27.75,7.4,13.65,19.5,4.4,5,5,5,5,5,5,5,5,5,5
1,306.09999999999997,0.7764638270613574,24.1,11.799999999999999,55.499999999999986,45.19999999999999,24.1,55.499999999999986,14.800000000000002,27.3,38.99999999999999,8.8,5,5,5,5,5,5,5,5,5,5
2,455.4999999999999,0.7870420070078065,36.150000000000006,17.7,83.24999999999997,67.79999999999997,36.150000000000006,78.09999999999997,22.200000000000003,40.94999999999999,58.499999999999986,14.7,5,5,5,5,5,5,5,5,5,5
3,604.8999999999997,0.791952538776355,48.19999999999999,23.599999999999998,110.99999999999996,90.39999999999995,48.19999999999999,100.69999999999995,29.600000000000005,54.59999999999997,78.0,20.599999999999998,5,5,5,5,5,5,5,5,5,5
4,761.8499999999997,0.7935543910580392,60.24999999999997,27.999999999999993,138.74999999999997,112.99999999999993,60.24999999999997,123.29999999999993,36.99999999999999,71.19999999999996,103.60000000000002,26.499999999999996,5,5,5,5,5,5,5,5,5,5
5,914.2499999999998,0.791939371026594,72.29999999999995,32.39999999999999,166.50000000000003,135.59999999999994,72.29999999999995,145.89999999999995,44.39999999999998,83.24999999999994,129.20000000000005,32.4,5,5,5,5,5,5,5,5,5,5
6,1066.6499999999999,0.7904726070188852,84.34999999999994,36.800000000000004,194.25000000000009,158.2,84.34999999999994,168.5,51.79999999999996,95.29999999999993,154.80000000000007,38.3,5,5,5,5,5,5,5,5,5,5
7,1223.6,0.7913319273931925,100.9499999999999,41.20000000000002,222.00000000000014,180.80000000000004,96.39999999999992,191.10000000000005,59.199999999999946,107.34999999999991,180.4000000000001,44.199999999999996,5,5,5,5,5,5,5,5,5,5
8,1385.7,0.790736040123121,117.54999999999987,45.60000000000003,249.7500000000002,208.5500000000001,108.4499999999999,213.7000000000001,66.59999999999994,119.39999999999989,206.0000000000001,50.099999999999994,5,5,5,5,5,5,5,5,5,5
9,1547.8000000000002,0.7900611739825341,134.14999999999984,50.00000000000004,277.5000000000002,236.30000000000015,120.49999999999989,236.30000000000015,73.99999999999996,131.44999999999987,231.60000000000014,55.99999999999999,5,5,5,5,5,5,5,5,5,5
10,1709.9000000000003,0.7893829279275312,150.7499999999998,54.400000000000055,305.2500000000003,264.0500000000002,132.54999999999987,258.9000000000002,81.39999999999998,143.49999999999986,257.20000000000016,61.89999999999999,5,5,5,5,5,5,5,5,5,5
11,1878.0000000000005,0.7901624386115501,173.34999999999985,58.80000000000007,333.00000000000034,291.80000000000024,144.59999999999985,281.5000000000001,88.8,155.54999999999984,282.8000000000002,67.80000000000001,5,5,5,5,5,5,5,5,5,5
12,2040.0000000000005,0.7914486122662894,195.9499999999999,63.20000000000008,360.7500000000004,319.5500000000003,156.64999999999984,304.1,96.20000000000002,167.59999999999982,302.30000000000007,73.70000000000005,5,5,5,5,5,5,5,5,5,5
13,2199.5000000000005,0.7909519939267157,218.54999999999995,65.10000000000008,388.50000000000045,347.30000000000035,168.69999999999982,326.69999999999993,103.60000000000004,179.6499999999998,321.79999999999995,79.60000000000008,5,5,5,5,5,5,5,5,5,5
14,2359.0000000000005,0.7903360835108119,241.15,67.00000000000006,416.2500000000005,375.0500000000004,180.7499999999998,349.29999999999984,111.00000000000006,191.6999999999998,341.29999999999984,85.50000000000011,5,5,5,5,5,5,5,5,5,5
15,2512.5000000000005,0.7902545863097103,263.75,68.90000000000003,444.00000000000057,402.80000000000047,192.79999999999978,365.8999999999998,118.40000000000008,203.74999999999977,360.7999999999997,91.40000000000015,5,5,5,5,5,5,5,5,5,5
16,2666.0000000000005,0.7899998884061008,286.3499999999999,70.80000000000001,471.7500000000006,430.5500000000005,204.84999999999977,382.4999999999998,125.8000000000001,215.79999999999976,380.2999999999996,97.30000000000018,5,5,5,5,5,5,5,5,5,5
17,2822.5,0.7898486106837567,311.94999999999993,72.69999999999999,499.5000000000007,458.3000000000006,216.89999999999975,399.09999999999974,133.20000000000007,227.84999999999974,399.7999999999995,103.20000000000022,5,5,5,5,5,5,5,5,5,5
18,2979.0,0.7895391949230294,337.54999999999995,74.59999999999997,527.2500000000006,486.05000000000064,228.94999999999973,415.6999999999997,140.60000000000002,239.89999999999972,419.2999999999994,109.10000000000025,5,5,5,5,5,5,5,5,5,5
19,3140.0499999999993,0.7900085024605423,363.15,76.49999999999994,555.0000000000003,513.8000000000006,245.5499999999997,432.29999999999967,147.99999999999997,251.9499999999997,438.7999999999993,115.00000000000028,5,5,5,5,5,5,5,5,5,5
20,3301.099999999999,0.7902969905077724,388.75,78.39999999999992,582.7500000000001,541.5500000000004,262.1499999999997,448.89999999999964,155.39999999999992,263.9999999999998,458.29999999999916,120.90000000000032,5,5,5,5,5,5,5,5,5,5
21,3463.749999999998,0.7907164227050408,414.35,80.2999999999999,610.4999999999999,569.3000000000002,278.74999999999966,465.4999999999996,162.79999999999987,277.64999999999986,477.79999999999905,126.80000000000035,5,5,5,5,5,5,5,5,5,5
22,3626.399999999998,0.7910065974774276,439.95000000000005,82.19999999999987,638.2499999999997,597.05,295.3499999999996,482.09999999999957,170.19999999999982,291.29999999999995,497.29999999999893,132.7000000000004,5,5,5,5,5,5,5,5,5,5
23,3787.5499999999975,0.7908001887370378,465.55000000000007,84.09999999999985,665.9999999999994,624.7999999999997,311.9499999999996,498.69999999999953,176.09999999999985,304.95000000000005,516.7999999999988,138.60000000000042,5,5,5,5,5,5,5,5,5,5
24,3942.849999999997,0.7907051686702284,491.1500000000001,85.99999999999983,693.7499999999992,652.5499999999995,328.54999999999956,515.2999999999995,181.9999999999999,318.60000000000014,530.4499999999989,144.50000000000045,5,5,5,5,5,5,5,5,5,5
25,4098.599999999998,0.7915384576456633,516.7500000000001,88.9999999999998,721.499999999999,678.1499999999995,345.1499999999995,531.8999999999997,187.89999999999992,332.2500000000002,544.099999999999,151.9000000000004,5,5,5,5,5,5,5,5,5,5
26,4257.999999999997,0.7930931478282158,542.3500000000001,91.99999999999977,749.2499999999987,703.7499999999995,361.7499999999995,548.5,197.4499999999999,345.9000000000003,557.7499999999991,159.30000000000035,5,5,5,5,5,5,5,5,5,5
27,4417.399999999997,0.7954218137943329,567.9500000000002,94.99999999999974,776.9999999999985,729.3499999999996,378.34999999999945,565.1000000000003,211.09999999999985,359.5500000000004,567.2999999999989,166.7000000000003,5,5,5,5,5,5,5,5,5,5
28,4573.7999999999965,0.7975029987829926,590.5500000000001,97.99999999999972,804.7499999999983,754.9499999999996,394.9499999999994,581.7000000000005,224.7499999999998,373.2000000000005,576.8499999999988,174.10000000000025,5,5,5,5,5,5,5,5,5,5
29,4728.999999999996,0.7985118215517557,613.15,100.99999999999969,832.4999999999981,780.5499999999996,411.5499999999994,601.2000000000004,234.29999999999978,386.8500000000006,586.3999999999986,181.5000000000002,5,5,5,5,5,5,5,5,5,5
30,4878.949999999996,0.7994152781151908,632.6499999999999,103.99999999999966,860.2499999999978,806.1499999999996,428.14999999999935,620.7000000000003,243.84999999999977,400.5000000000007,593.7999999999987,188.90000000000015,5,5,5,5,5,5,5,5,5,5
31,5025.949999999995,0.7999166009541885,652.1499999999997,106.99999999999963,887.9999999999976,831.7499999999997,441.79999999999944,640.2000000000002,253.39999999999975,414.1500000000008,601.1999999999988,196.3000000000001,5,5,5,5,5,5,5,5,5,5
32,5171.449999999995,0.8000126703819845,671.6499999999996,109.9999999999996,915.7499999999974,857.3499999999997,455.44999999999953,659.7,262.9499999999998,427.80000000000086,608.5999999999989,202.20000000000013,5,5,5,5,5,5,5,5,5,5
33,5313.949999999995,0.8004689409056116,691.1499999999995,115.89999999999964,943.4999999999972,879.9499999999996,469.0999999999996,679.1999999999999,272.49999999999994,441.45000000000095,615.999999999999,205.2000000000001,5,5,5,5,5,5,5,5,5,5
34,5456.449999999995,0.8008503928166472,710.6499999999994,121.79999999999967,971.2499999999969,902.5499999999995,482.7499999999997,698.6999999999998,282.05000000000007,455.10000000000105,623.3999999999991,208.20000000000007,5,5,5,5,5,5,5,5,5,5
